ticker,mae,rmse,r2,dpa,long_ret_mean,short_ret_mean,status
A,0.013777508736542354,0.018795555494162362,-0.0003367744506463932,50.05149330587023,0.013451344351660725,0.0,success
AAPL,0.013429975405100478,0.018667753579343326,-0.09199211016035913,49.43357363542739,0.17221703067929633,0.04516741079086624,success
ABBV,0.011396887005020926,0.01655036737285236,-0.00961466025369373,51.66666666666667,0.07083198943455306,1.8759253444275537,success
ABNB,0.02888581868392823,0.03349084484415358,-2.4190679485338973,54.44444444444444,-0.0031026976235986542,0.0,success
ABT,0.00995557186933891,0.013861640431937158,0.0006600801182008453,51.59629248197734,0.02274924679152751,-0.2715545744169549,success
ACN,0.012375561101056955,0.01752403637663652,-0.0050406454685894,50.6578947368421,-0.0077004786981410825,-0.0411630559263526,success
ADBE,0.015681763028787318,0.022855615282407205,-0.03031514049432893,49.742533470648816,-0.023342389230197772,0.0,success
ADI,0.015370594934860324,0.02121215630898933,-0.02594728015632053,52.31719876416066,0.12169396241885637,-0.04972808225013768,success
ADP,0.009497115443782041,0.013574440299648185,-0.005598516117538033,51.905252317198766,0.010839525440016132,0.0,success
AEE,0.009346998141066605,0.012554257321527915,-0.01648065057195791,52.111225540679705,0.03590654930772015,0.0,success
AEM,0.017175877743566964,0.022980144838173677,-0.0037126493581012276,54.685890834191554,0.17243839454303683,0.2669522508040513,success
AEP,0.00979158494099411,0.013075272366352428,-0.008026849441692852,51.493305870236874,0.11828875907788021,-0.0022186310958624868,success
AFL,0.009384427321538035,0.01329244860525857,-5.1048781557261336e-05,54.685890834191554,0.07501511582822683,0.0,success
AIG,0.011526546037972285,0.016237250129383173,-0.00017609721020495073,53.75901132852729,0.04785450452832247,0.0,success
AJG,0.010516921811942382,0.014604724830136416,-0.022795969486296253,54.17095777548918,0.04139207766317961,0.022133168495340385,success
ALB,0.02646979756855021,0.03528089326726596,-0.007785614084922843,49.0216271884655,-0.01788264760262257,0.40798305107789856,success
ALGN,0.02071779043563563,0.03225908956320593,-0.02389988665110443,48.97959183673469,-0.05921062575126,0.7410941729638414,success
ALL,0.012124734697540879,0.016654516171596592,-0.00981195310834626,50.360453141091654,0.09155708283969659,0.04148882694008299,success
ALNY,0.017603441791996882,0.027170228494599238,-0.028278947295629298,48.94409937888199,0.07318290480847829,0.07703415911026092,success
ALRM,0.01369991749672965,0.018774650982659413,-0.027258165178492222,52.19638242894057,0.19358420579030577,-0.06476561818822307,success
AMAT,0.020156410173725728,0.027417009673514774,-0.005287630116386888,49.845520082389285,0.16619682026073518,0.14110170628085897,success
AMCR,0.010791904362260178,0.015664315259529188,-0.009281349272377337,48.89867841409692,0.02456631020683942,-0.14956102894977724,success
AMD,0.045418207324730134,0.05443536101140467,-1.5213048505747162,50.25746652935118,5.77735100017942,0.1304171989587959,success
AMGN,0.010938736623021991,0.015541912879183856,-0.00029087406983530073,50.77239958805355,0.06454464224757518,0.3394209369296084,success
AMT,0.013178810873119107,0.017589861099919286,-0.046906992947011616,50.669412976313076,-0.003103896155759816,0.0,success
AMZN,0.016679945836144704,0.02311801732940034,-0.02104678406289673,52.832131822863026,0.07906121923042317,-0.11869214064909711,success
ANAB,0.03274921294612898,0.05125919159172415,-0.022887819703533818,53.21100917431193,0.40659519293965624,0.40459131896409156,success
AON,0.009927344084348933,0.014279642634913206,-0.004615170866456797,52.31719876416066,0.016454327347314075,-0.013546819444937297,success
APD,0.011604764030046857,0.017327864816825196,-0.011925141429847796,50.46343975283213,0.0240732545856572,0.10246131875816136,success
APLS,0.025944778540747185,0.039730188394066945,-0.022374799616347252,53.87205387205387,0.16091574147825308,-0.1065033174223886,success
APPF,0.017598468001870485,0.026599250738421044,-0.011709498964733056,51.162790697674424,0.025864372376294797,-0.061589357688810915,success
APRE,,,,,,,skipped_volatile
APTV,0.016710408804758544,0.02356027123940129,0.004938009361543982,50.76628352490421,0.3063332483061278,-0.07295789525653269,success
ARE,0.015267465540925694,0.021365707407886902,-0.002781964390828895,48.506694129763126,-0.11328524579008749,0.14888340999816466,success
ARQT,0.025763892994055255,0.037617896246353796,-0.0751741318978636,54.67289719626168,0.3461364070304639,0.3039389598237927,success
ARVN,0.03343787424194246,0.047801054963963516,-0.38007450961300626,56.439393939393945,0.3760728874128042,-0.20231708684374947,success
ARWR,,,,,,,skipped_volatile
ASAN,,,,,,,skipped_volatile
ASML,0.01976219844142811,0.027006778468386915,-0.03571731106858134,52.111225540679705,0.13307607668164476,0.12022127486767217,success
AU,0.02277500226220358,0.030751674021474797,-0.008653993925092918,48.40370751802266,0.059665819823139225,0.32823440812811605,success
AVB,0.01077857188829127,0.01436881863750079,-0.0017954347170503482,50.56642636457261,0.00603532422410105,-0.09634774776229812,success
AVGO,0.021471591341372238,0.03189189677357524,-0.0007789178106674122,54.42622950819672,0.275483860929452,0.0,success
AWK,0.01062957054203102,0.014191079268139306,-0.003174416384013057,50.455927051671736,0.010397721161914784,0.0,success
AXP,0.01368839019450806,0.018985305370343028,-0.06823232351544561,52.523171987641604,0.12881180977923826,-0.1446012779487549,success
AZO,0.011040554890705313,0.01500480667773776,-0.012406237763307848,53.55303810504635,0.07108752070713413,0.12596919282762187,success
BA,0.016049636326643114,0.022962301969921068,-0.0020206740429500325,51.905252317198766,0.03769781848841083,0.3892312448310964,success
BAC,0.01255260593822867,0.017291045537302666,-0.040726004240691394,49.0216271884655,0.03583390392397835,0.061599332608452996,success
BAX,0.014522765432733729,0.02246754022817721,-0.00925311245816074,48.918640576725025,-0.10764353457080465,0.6929693376928336,success
BBY,0.01632591012233366,0.023438488051969283,-0.0034019205604438607,48.506694129763126,0.002515546468220605,0.0,success
BDX,0.01018665205731444,0.015088891795583165,-0.003666115972579931,53.3470648815654,0.1253749662905492,-0.10441769763273569,success
BEAM,,,,,,,skipped_volatile
BIIB,0.014094014339197049,0.022221263520527956,-0.014143703919081707,48.19773429454171,0.009408643448164902,0.07804325356955842,success
BK,0.010992938344979853,0.015154457985345524,-0.0036226770050653556,54.17095777548918,0.11390812094112612,0.18971424410134924,success
BKNG,0.014030729700594458,0.01932255249762978,-0.0016544735184753634,53.86199794026777,0.08525857895965382,0.0,success
BKR,0.015977003965278166,0.021785004008219002,-0.04414269133229687,46.44696189495365,-0.03151815039656996,0.11637696129050323,success
BL,0.017075189613616086,0.024839274449306132,-0.004509638279383221,48.51190476190476,0.0060986111642609645,-0.1511142816605083,success
BLK,0.01227503615792995,0.01723687677222878,-0.03800225143323721,47.68280123583934,-0.02176013090191348,0.3078051653545096,success
BLKB,0.013144880297445602,0.0196518461611416,-0.00044179498736007794,48.375,0.0,0.0015758888473711011,success
BMRN,0.014064435176818612,0.020652392710533048,-0.01673004871366257,50.05149330587023,-0.0072705451575163105,-0.04233111787856369,success
BMY,0.01109956486766148,0.015786583884025353,-0.0017403201381764877,50.669412976313076,-0.01670096933032007,0.012941906403500866,success
BOLD,0.03298082998470341,0.04203518599202555,-1.5323848252757553,68.42105263157895,0.0,0.064565390525668,success
BRK-A,0.008204124875243341,0.011169242864073243,-0.0029480091564895172,52.62615859938208,0.04017621894227033,0.07393250175627558,success
BRK-B,0.008734757691434544,0.011887510157049079,-0.1436497466257478,51.69927909371782,0.03715272748041277,0.045939168305370176,success
BRO,0.010919471848455287,0.015744320931040955,-0.030858135530517528,48.094747682801234,-0.06607658058021795,0.06705374808619297,success
BSX,0.0101078211763456,0.015047898017339694,-0.00020625955424846687,53.14109165808445,0.06756625840687153,0.0,success
BWA,0.01503422578313568,0.02135061266397711,-0.001089915459771218,53.55303810504635,0.09563036172120291,-0.5770229511316279,success
