ticker,mae,rmse,r2,dpa,status
AAPL,50.05454200711743,51.95017495907897,-0.7283989375735223,51.56418554476807,success
MSFT,71.7666734333696,76.49941987579547,0.23343892180574566,51.7799352750809,success
GOOGL,47.34656633070582,51.10631216018914,0.23164432139268676,51.99468085106383,success
AMZN,31.718598941276813,34.00978355227925,0.48220219448582324,48.43581445523193,success
NVDA,18.59512455196216,23.589112257420215,0.8469161347471084,50.701186623516726,success
META,200.43039708334038,209.0026987314295,-4.510470989895025,53.2608695652174,success
TSLA,85.3171165294217,105.52127290130888,-0.1655711450944728,48.7758945386064,success
BRK-B,98.64850810478474,102.65140504532312,-0.6530144561125388,51.995685005393746,success
LLY,347.4100267476049,375.540232709188,-1.5840785474980343,49.4066882416397,success
AVGO,46.94656045866518,52.533007070102954,0.6216719874340765,48.31858407079646,success
JPM,88.84934515377572,97.81824201797667,-1.0112802471237057,50.80906148867314,success
V,52.156357873219115,53.810273735642845,-0.8140975701305386,55.10534846029174,success
XOM,24.943552424167766,25.921414805615008,-3.5710847669410875,52.42718446601942,success
UNH,83.8733764188043,88.41949367764434,-0.11616068928159495,49.622437971952536,success
MA,135.42129050175697,138.03729324390218,-3.2442965534664454,48.97959183673469,success
HD,91.15577817785329,93.37969989691474,-3.0267973761887195,49.83818770226537,success
PG,41.588925682265184,42.117212689396545,-9.601765811326555,50.05393743257821,success
JNJ,38.386359946481114,40.371191390851365,-2.8500892358422805,53.398058252427184,success
COST,186.03506742674728,195.02180276098827,0.11797832471972602,54.36893203883495,success
ABBV,22.063833380727527,22.854337463005532,-0.047310875986710466,44.72477064220183,success
NFLX,23.484647304211325,27.3361224792706,0.2193915690956505,50.83732057416268,success
BAC,9.169822189314612,9.98604864061159,-0.3047185705793811,52.103559870550164,success
CRM,81.8030161499506,87.23154991557348,-3.4024722159213185,51.45118733509235,success
CVX,24.29099254772581,25.01088084420128,-4.785259523687829,50.916936353829556,success
MRK,26.606764896162623,27.107409430521116,-2.940929260355818,52.642934196332256,success
KO,15.380742241596353,15.74005761172734,-4.585834966274586,48.43581445523193,success
ADBE,62.63023174220118,72.31206424423793,0.4239411047347251,49.94606256742179,success
WMT,12.942834077210263,13.966706375514054,0.6802825009344362,52.103559870550164,success
PEP,25.371118537310895,25.895582663494572,-4.120489883918576,49.4066882416397,success
TMO,112.19707469282478,116.39964827772936,-4.171332335775218,49.83818770226537,success
CSCO,11.455692268651108,12.203787916019218,-0.19251633595315631,51.56418554476807,success
ACN,48.704633987128254,52.633739182523314,-0.7879341750211855,51.26728110599078,success
LIN,120.39599441659861,123.71514164333361,-2.7604925688260478,50.05393743257821,success
MCD,77.90110555188409,78.95045360322224,-8.529415117774644,49.083063646170444,success
AMD,70.39789632271076,73.08294872489863,-1.4424115535565027,50.48543689320388,success
ABT,27.178477098201885,27.580939988901964,-3.5551852641473918,47.680690399137,success
DIS,9.706154609548635,10.656413449614647,0.1108013697727589,46.92556634304207,success
IBM,69.91424752926004,89.43701047853541,-1.0337878321252032,54.476806903991374,success
GE,21.883988211894856,31.66999357248066,0.8649474353328767,49.730312837108954,success
CMCSA,2.68499723179587,2.8970932246433807,0.41087523072109033,50.48543689320388,success
INTC,2.826396785933396,3.580614636908832,0.8030816145971378,51.56418554476807,success
DHR,72.17069933332246,75.51260647211829,-11.249784288800702,49.29881337648328,success
INTU,104.75605747617524,116.7248200493576,-0.058234897827086796,50.80906148867314,success
VZ,5.505675940678038,5.892469342302786,-0.507607578481386,48.004314994606254,success
TXN,30.217088008749073,32.215967041726,-1.5780092003767279,46.27831715210356,success
QCOM,39.16182961135075,40.85700777221941,-1.3336940486565032,50.377562028047464,success
AMGN,76.02338879683921,78.21249005373832,-2.9205695110333236,48.651564185544764,success
PFE,3.5872210017566024,4.109497997172772,0.5379523801139325,49.83818770226537,success
CAT,64.1341053699625,73.46006560135683,0.651934544910659,52.75080906148867,success
NEE,14.068321852848447,15.67173539411545,-2.1583616896365423,50.80906148867314,success
AMAT,33.27249748953457,37.69857960214229,0.5506808478289403,49.51456310679612,success
HON,42.71764931185492,44.06230168069933,-5.257120151536289,47.78856526429342,success
ORCL,39.6908582490066,48.02839935288951,0.2807393327578189,52.21143473570658,success
PM,36.99340713081914,44.138182938868404,-0.6618730623679767,51.61812297734628,success
